,Ibov_Return,Ibov_cReturn,winners_long,winners_cum
2011-02-28,0.012136687945925706,0.9619958598044136,0.009334792070478437,1.0093347920704785
2011-03-31,0.017868008251339385,0.9791848097651532,0.053205171728288224,1.0630366230139243
2011-04-29,-0.035779375100237654,0.944150189164111,0.00849052194687292,1.0720623587919538
2011-05-31,-0.022878139506751993,0.9225497894210881,0.03776505894162201,1.1125488569608264
2011-06-30,-0.03429278861033691,0.8909129845099599,0.40125652459356925,1.5589663447454756
2011-07-29,-0.05738414204217701,0.8397887072596205,-0.12172426579989937,1.3692023110245797
2011-08-31,-0.039576356187205786,0.8065529302591207,-0.0484987823628832,1.302797666131442
2011-09-30,-0.07382954243738404,0.7470054964665584,-0.025398443121827964,1.2697086337089525
2011-10-31,0.11493769589480918,0.8328645870511827,0.038370055636629444,1.3184274246266738
2011-11-30,-0.025077993760498907,0.8119780141337727,0.0224827771456546,1.3480693345972747
2011-12-30,-0.002127472527472807,0.8102505532157912,0.030325473564603623,1.3889501755668572
2012-01-31,0.11132254995242596,0.9004497109001369,0.025408842131405363,1.4242417913062233
2012-02-29,0.04344241501775792,0.9395674209436808,0.03696165697398244,1.4768841278444942
2012-03-30,-0.019768431289126642,0.9209936469412537,-0.001135407849294956,1.4752072620132404
2012-04-30,-0.04171381624839221,0.8825754871868097,0.022772968739193634,1.5088021108748992
2012-05-31,-0.11857004205758648,0.7779284745520748,-0.08954847798591124,1.373691178264122
2012-06-29,-0.0024775188107910573,0.776001142122922,0.047364864760267314,1.4387558751449743
2012-07-31,0.032048569588814635,0.8008708687272481,0.0513586105850937,1.5126483778635607
2012-08-31,0.01718451967128387,0.8146334499250497,-0.01088195912064448,1.4961878000517401
2012-09-28,0.0370655964669393,0.8448283246484422,0.0007001738924716672,1.497235391687571
2012-10-31,-0.035622549682303606,0.8147333856806357,0.032387051164869826,1.5457264309240102
2012-11-30,0.007131842713955061,0.8205439360411181,0.057317651800407855,1.6343238402704
2012-12-31,0.060495867768594946,0.870183453494184,0.055297154868128195,1.7246972987705063
2013-01-31,-0.01953996587478679,0.8531800985081035,0.02608094527187409,1.7696790346302886
2013-02-28,-0.0391057713224342,0.8198158326789937,0.0789369363035132,1.9093720758645627
2013-03-29,-0.018668152688771533,0.8045113855378699,0.01256578040497922,1.9333648260812761
2013-04-30,-0.007843554798410035,0.7982011563994589,0.02725655234819966,1.9860616856715283
2013-05-31,-0.04299767483455541,0.7638803626240288,-0.01982969066712189,1.9466786967988392
2013-06-28,-0.11305274174858893,0.677521593261476,-0.07920272923615101,1.7924964310664975
2013-07-31,0.01637271635375126,0.6886144621314878,0.0009941317252600169,1.794278408636036
2013-08-30,0.03677903553509965,0.7139410379042054,0.02974256171807782,1.8476448449443077
2013-09-30,0.046592545192769785,0.7472053679777301,0.02951512696590074,1.9021783171307307
2013-10-31,0.03664641369559374,0.7745877650082104,0.013911190052774459,1.9286398812146028
2013-11-29,-0.03269684458861688,0.7492611892354928,0.065862840381865,2.0556655818651395
2013-12-31,-0.018577798102206278,0.7353415661360568,0.001740476873885688,2.0592434202708185
2014-01-31,-0.07509658881317127,0.680119922906704,-0.04761826897062417,1.9611858132083746
2014-02-28,-0.011440206553454346,0.6723392105075319,0.02304168498669711,2.006374838916701
2014-03-31,0.07051853739329816,0.7197515882646878,0.0009771372664951316,2.0083353425423645
2014-04-30,0.024020628781116438,0.7370404739810128,-0.012758503171038094,1.98271198970603
2014-05-30,-0.007496222833455968,0.7315154543507751,0.03566348364154258,2.0534224063168014
2014-06-30,0.03764710474443311,0.7590548932828903,0.03644114151746575,2.128251462820527
2014-07-31,0.050048901594943906,0.7970447569419663,0.030652828513537834,2.1934883899440507
2014-08-29,0.09778072328001564,0.874980369762296,0.06229625698302109,2.330134506373278
2014-09-30,-0.11702127659574468,0.7725890498964954,-0.06850126508482643,2.170517344868901
2014-10-31,0.00947963633675819,0.7799129131272756,0.03161743302031992,2.2391435316397357
2014-11-28,0.0006406853502718413,0.7804125919052041,-0.09970100232870432,2.015898677177419
2014-12-31,-0.08519318015512956,0.7139267613676924,-0.02955486065615851,1.956319072676506
2015-01-30,-0.06197132401463834,0.6696837747162537,-0.12243137165688651,1.716804245210193
2015-02-27,0.09966317046132867,0.7364265829109857,-0.0833117511958764,1.573774277081217
2015-03-31,-0.008394238411880028,0.7302448426011848,0.06347612781010481,1.6736713742374798
2015-04-30,0.09929618768328363,0.8027553715468619,0.01986454826189099,1.7069181000255658
2015-05-29,-0.061694143591385475,0.7532300663858938,0.02243857952284082,1.7452189175519657
2015-06-30,0.0060841546626237974,0.757812834606324,0.013717469485719336,1.769158904799385
2015-07-31,-0.04174751794427378,0.7261760296951955,-0.04529759636600668,1.6890202588224559
2015-08-31,-0.0833382483043349,0.6656577914198012,-0.05356053964547732,1.5985554222877814
2015-09-30,-0.03360785827649837,0.6432864587051176,0.004533130551992981,1.605801882711608
2015-10-30,0.017976430901706753,0.6548504532800338,-0.01950134401619219,1.5744865877749998
2015-11-30,-0.016329111164403276,0.6441573274323642,-0.006234559320015254,1.5646703577449481
2015-12-31,-0.03922872340425532,0.6188878578056957,-0.0046557765188946386,1.5573856022335488
2016-01-29,-0.06791234140715086,0.5768577343136551,0.011744738066028926,1.5756766881995865
2016-02-29,0.05910013364351796,0.6109501035048891,0.04829288489948748,1.6517706611416147
2016-03-31,0.1696733186895365,0.7146120351202795,0.11359825973616726,1.8394089337305608
2016-04-29,0.07703526121266613,0.7696623599114851,-0.005260299321309591,1.8297330921648471
